year,month,source_location,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2020,5,Argyll and Bute,43,,,,,
2020,5,Clackmannanshire,58,,,,,
2020,5,Dumfries and Galloway,149,,,,,
2020,5,Dundee City,140,,,,,
2020,5,East Ayrshire,95,,,,,
2020,5,East Dunbartonshire,37,,,,,
2020,5,East Lothian,55,,,,,
2020,5,East Renfrewshire,32,,,,,
2020,5,City of Edinburgh,311,,,,,
2020,5,Falkirk,161,,,,,
2020,5,Fife,267,,,,,
2020,5,Glasgow City,665,,,,,
2020,5,Highland,122,,,,,
2020,5,Inverclyde,47,,,,,
2020,5,Midlothian,71,,,,,
2020,5,Moray,47,,,,,
2020,5,North Ayrshire,104,,,,,
2020,5,North Lanarkshire,393,,,,,
2020,5,Orkney Islands,1,,,,,
2020,5,Perth and Kinross,48,,,,,
2020,5,Renfrewshire,112,,,,,
2020,5,Scottish Borders,61,,,,,
2020,5,Shetland Islands,6,,,,,
2020,5,South Ayrshire,64,,,,,
2020,5,South Lanarkshire,314,,,,,
2020,5,Stirling,72,,,,,
2020,5,West Dunbartonshire,90,,,,,
2020,5,West Lothian,99,,,,,
2020,5,Na h-Eileanan Siar,9,,,,,
2020,6,Aberdeen City,150,,,,,
2020,6,Aberdeenshire,73,,,,,
2020,6,Angus,49,,,,,
2020,6,Argyll and Bute,58,,,,,
2020,6,Clackmannanshire,45,,,,,
2020,6,Dumfries and Galloway,142,,,,,
2020,6,Dundee City,131,,,,,
2020,6,East Ayrshire,89,,,,,
2020,6,East Dunbartonshire,46,,,,,
2020,6,East Lothian,76,,,,,
2020,6,East Renfrewshire,33,,,,,
2020,6,City of Edinburgh,300,,,,,
2020,6,Falkirk,145,,,,,
2020,6,Fife,242,,,,,
2020,6,Glasgow City,773,,,,,
2020,6,Highland,109,,,,,
2020,6,Inverclyde,79,,,,,
2020,6,Midlothian,56,,,,,
2020,6,Moray,34,,,,,
2020,6,North Ayrshire,115,,,,,
2020,6,North Lanarkshire,405,,,,,
2020,6,Orkney Islands,9,,,,,
2020,6,Perth and Kinross,66,,,,,
2020,6,Renfrewshire,134,,,,,
2020,6,Scottish Borders,81,,,,,
2020,6,Shetland Islands,8,,,,,
2020,6,South Ayrshire,92,,,,,
2020,6,South Lanarkshire,279,,,,,
2020,6,Stirling,76,,,,,
2020,6,West Dunbartonshire,102,,,,,
2020,6,West Lothian,113,,,,,
2020,6,Na h-Eileanan Siar,11,,,,,
2020,7,Aberdeen City,145,,,,,
2020,7,Aberdeenshire,84,,,,,
2020,7,Angus,44,,,,,
2020,7,Argyll and Bute,58,,,,,
2020,7,Clackmannanshire,44,,,,,
2020,7,Dumfries and Galloway,159,,,,,
2020,7,Dundee City,103,,,,,
2020,7,East Ayrshire,92,,,,,
2020,7,East Dunbartonshire,37,,,,,
2020,7,East Lothian,71,,,,,
2020,7,East Renfrewshire,34,,,,,
2020,7,City of Edinburgh,309,,,,,
2020,7,Falkirk,133,,,,,
2020,7,Fife,280,,,,,
2020,7,Glasgow City,664,,,,,
2020,7,Highland,122,,,,,
2020,7,Inverclyde,49,,,,,
2020,7,Midlothian,51,,,,,
2020,7,Moray,57,,,,,
2020,7,North Ayrshire,111,,,,,
2020,7,North Lanarkshire,374,,,,,
2020,7,Orkney Islands,3,,,,,
2020,7,Perth and Kinross,70,,,,,
2020,7,Renfrewshire,127,,,,,
2020,7,Scottish Borders,69,,,,,
2020,7,Shetland Islands,7,,,,,
2020,7,South Ayrshire,75,,,,,
2020,7,South Lanarkshire,258,,,,,
2020,7,Stirling,68,,,,,
2020,7,West Dunbartonshire,80,,,,,
2020,7,West Lothian,117,,,,,
2020,7,Na h-Eileanan Siar,8,,,,,
2020,8,Aberdeen City,135,,,,,
2020,8,Aberdeenshire,91,,,,,
2020,8,Angus,59,,,,,
2020,8,Argyll and Bute,65,,,,,
2020,8,Clackmannanshire,45,,,,,
2020,8,Dumfries and Galloway,154,,,,,
2020,8,Dundee City,130,,,,,
2020,8,East Ayrshire,89,,,,,
2020,8,East Dunbartonshire,57,,,,,
2020,8,East Lothian,44,,,,,
2020,8,East Renfrewshire,41,,,,,
2020,8,City of Edinburgh,276,,,,,
2020,8,Falkirk,131,,,,,
2020,8,Fife,290,,,,,
2020,8,Glasgow City,695,,,,,
2020,8,Highland,136,,,,,
2020,8,Inverclyde,52,,,,,
2020,8,Midlothian,59,,,,,
2020,8,Moray,42,,,,,
2020,8,North Ayrshire,147,,,,,
2020,8,North Lanarkshire,392,,,,,
2020,8,Orkney Islands,9,,,,,
2020,8,Perth and Kinross,76,,,,,
2020,8,Renfrewshire,141,,,,,
2020,8,Scottish Borders,77,,,,,
2020,8,Shetland Islands,3,,,,,
2020,8,South Ayrshire,86,,,,,
2020,8,South Lanarkshire,283,,,,,
2020,8,Stirling,69,,,,,
2020,8,West Dunbartonshire,80,,,,,
2020,8,West Lothian,81,,,,,
2020,8,Na h-Eileanan Siar,3,,,,,
2020,9,Aberdeen City,111,,,,,
2020,9,Aberdeenshire,47,,,,,
2020,9,Angus,46,,,,,
2020,9,Argyll and Bute,42,,,,,
2020,9,Clackmannanshire,41,,,,,
2020,9,Dumfries and Galloway,143,,,,,
2020,9,Dundee City,109,,,,,
2020,9,East Ayrshire,84,,,,,
2020,9,East Dunbartonshire,33,,,,,
2020,9,East Lothian,70,,,,,
2020,9,East Renfrewshire,29,,,,,
2020,9,City of Edinburgh,263,,,,,
2020,9,Falkirk,131,,,,,
2020,9,Fife,278,,,,,
2020,9,Glasgow City,622,,,,,
2020,9,Highland,85,,,,,
2020,9,Inverclyde,44,,,,,
2020,9,Midlothian,57,,,,,
2020,9,Moray,30,,,,,
2020,9,North Ayrshire,123,,,,,
2020,9,North Lanarkshire,246,,,,,
2020,9,Orkney Islands,1,,,,,
2020,9,Perth and Kinross,60,,,,,
2020,9,Renfrewshire,106,,,,,
2020,9,Scottish Borders,66,,,,,
2020,9,Shetland Islands,4,,,,,
2020,9,South Ayrshire,85,,,,,
2020,9,South Lanarkshire,256,,,,,
2020,9,Stirling,52,,,,,
2020,9,West Dunbartonshire,67,,,,,
2020,9,West Lothian,120,,,,,
2020,9,Na h-Eileanan Siar,12,,,,,
2020,10,Aberdeen City,103,,,,,
2020,10,Aberdeenshire,57,,,,,
2020,10,Angus,41,,,,,
2020,10,Argyll and Bute,54,,,,,
2020,10,Clackmannanshire,31,,,,,
2020,10,Dumfries and Galloway,128,,,,,
2020,10,Dundee City,110,,,,,
2020,10,East Ayrshire,83,,,,,
2020,10,East Dunbartonshire,41,,,,,
2020,10,East Lothian,50,,,,,
2020,10,East Renfrewshire,18,,,,,
2020,10,City of Edinburgh,294,,,,,
2020,10,Falkirk,113,,,,,
2020,10,Fife,255,,,,,
2020,10,Glasgow City,562,,,,,
2020,10,Highland,86,,,,,
2020,10,Inverclyde,54,,,,,
2020,10,Midlothian,33,,,,,
2020,10,Moray,32,,,,,
2020,10,North Ayrshire,76,,,,,
2020,10,North Lanarkshire,286,,,,,
2020,10,Orkney Islands,3,,,,,
2020,10,Perth and Kinross,60,,,,,
2020,10,Renfrewshire,101,,,,,
2020,10,Scottish Borders,47,,,,,
2020,10,Shetland Islands,4,,,,,
2020,10,South Ayrshire,62,,,,,
2020,10,South Lanarkshire,222,,,,,
2020,10,Stirling,47,,,,,
2020,10,West Dunbartonshire,73,,,,,
2020,10,West Lothian,97,,,,,
2020,10,Na h-Eileanan Siar,7,,,,,
2020,11,Aberdeen City,99,,,,,
2020,11,Aberdeenshire,76,,,,,
2020,11,Angus,47,,,,,
2020,11,Argyll and Bute,48,,,,,
2020,11,Clackmannanshire,36,,,,,
2020,11,Dumfries and Galloway,125,,,,,
2020,11,Dundee City,115,,,,,
2020,11,East Ayrshire,88,,,,,
2020,11,East Dunbartonshire,47,,,,,
2020,11,East Lothian,44,,,,,
2020,11,East Renfrewshire,20,,,,,
2020,11,City of Edinburgh,256,,,,,
2020,11,Falkirk,116,,,,,
2020,11,Fife,260,,,,,
2020,11,Glasgow City,579,,,,,
2020,11,Highland,92,,,,,
2020,11,Inverclyde,53,,,,,
2020,11,Midlothian,55,,,,,
2020,11,Moray,44,,,,,
2020,11,North Ayrshire,98,,,,,
2020,11,North Lanarkshire,259,,,,,
2020,11,Orkney Islands,2,,,,,
2020,11,Perth and Kinross,49,,,,,
2020,11,Renfrewshire,109,,,,,
2020,11,Scottish Borders,55,,,,,
2020,11,Shetland Islands,4,,,,,
2020,11,South Ayrshire,58,,,,,
2020,11,South Lanarkshire,235,,,,,
2020,11,Stirling,33,,,,,
2020,11,West Dunbartonshire,78,,,,,
2020,11,West Lothian,128,,,,,
2020,11,Na h-Eileanan Siar,6,,,,,
2020,12,Aberdeen City,108,,,,,
2020,12,Aberdeenshire,49,,,,,
2020,12,Angus,42,,,,,
2020,12,Argyll and Bute,55,,,,,
2020,12,Clackmannanshire,46,,,,,
2020,12,Dumfries and Galloway,111,,,,,
2020,12,Dundee City,97,,,,,
2020,12,East Ayrshire,99,,,,,
2020,12,East Dunbartonshire,25,,,,,
2020,12,East Lothian,57,,,,,
2020,12,East Renfrewshire,24,,,,,
2020,12,City of Edinburgh,248,,,,,
2020,12,Falkirk,105,,,,,
2020,12,Fife,241,,,,,
2020,12,Glasgow City,479,,,,,
2020,12,Highland,101,,,,,
2020,12,Inverclyde,48,,,,,
2020,12,Midlothian,63,,,,,
2020,12,Moray,35,,,,,
2020,12,North Ayrshire,105,,,,,
2020,12,North Lanarkshire,265,,,,,
2020,12,Orkney Islands,1,,,,,
2020,12,Perth and Kinross,41,,,,,
2020,12,Renfrewshire,115,,,,,
2020,12,Scottish Borders,60,,,,,
2020,12,Shetland Islands,2,,,,,
2020,12,South Ayrshire,55,,,,,
2020,12,South Lanarkshire,230,,,,,
2020,12,Stirling,30,,,,,
2020,12,West Dunbartonshire,71,,,,,
2020,12,West Lothian,69,,,,,
2020,12,Na h-Eileanan Siar,13,,,,,
2021,1,Aberdeen City,135,,,,,
2021,1,Aberdeenshire,45,,,,,
2021,1,Angus,40,,,,,
2021,1,Argyll and Bute,29,,,,,
2021,1,Clackmannanshire,28,,,,,
2021,1,Dumfries and Galloway,115,,,,,
2021,1,Dundee City,108,,,,,
2021,1,East Ayrshire,67,,,,,
2021,1,East Dunbartonshire,29,,,,,
2021,1,East Lothian,42,,,,,
2021,1,East Renfrewshire,15,,,,,
2021,1,City of Edinburgh,250,,,,,
2021,1,Falkirk,111,,,,,
2021,1,Fife,172,,,,,
2021,1,Glasgow City,508,,,,,
2021,1,Highland,83,,,,,
2021,1,Inverclyde,36,,,,,
2021,1,Midlothian,48,,,,,
2021,1,Moray,22,,,,,
2021,1,North Ayrshire,107,,,,,
2021,1,North Lanarkshire,263,,,,,
2021,1,Orkney Islands,4,,,,,
2021,1,Perth and Kinross,40,,,,,
2021,1,Renfrewshire,93,,,,,
2021,1,Scottish Borders,53,,,,,
2021,1,Shetland Islands,6,,,,,
