week_start,PSOS_MMW_Name,true,pred
2024-11-04,Bo'ness and Blackness,1,1
2024-11-04,Leith Walk,0,0
2024-11-04,Lomond North,1,1
2024-11-04,Rutherglen South,1,1
2024-11-04,Strathtay,1,1
2024-11-04,Dunblane and Bridge of Allan,1,1
2024-11-04,Girvan and South Carrick,1,1
2024-11-04,West Mainland,1,1
2024-11-04,Blantyre,1,1
2024-11-04,Saltcoats and Stevenston,0,0
2024-11-04,Shettleston,1,1
2024-11-04,Lenzie & Kirkintilloch South,1,1
2024-11-04,Dalkeith,1,1
2024-11-04,Hamilton South,0,0
2024-11-04,Aird and Loch Ness,1,1
2024-11-04,Lerwick North,1,1
2024-11-04,Lomond,1,1
2024-11-04,Dunbar and East Linton,1,1
2024-11-04,Blairgowrie and Glens,1,1
2024-11-04,Beinn na Foghla agus Uibhist a Tuath,1,1
2024-11-04,"Lochgelly, Cardenden and Benarty",0,0
2024-11-04,"Houston, Crosslee & Linwood",0,0
2024-11-04,Armadale and Blackridge,1,1
2024-11-04,Thorniewood,1,1
2024-11-04,Cupar,1,1
2024-11-04,Howe of Fife and Tay Coast,1,1
2024-11-04,Bonnyrigg,1,1
2024-11-04,Renfrew South & Gallowhill,1,1
2024-11-04,George St/Harbour,0,0
2024-11-04,Leaderdale and Melrose,1,1
2024-11-04,Strathmore,1,1
2024-11-04,Dunfermline North,0,0
2024-11-04,Avondale and Stonehouse,1,1
2024-11-04,Inverclyde Central,1,1
2024-11-04,Maryfield,0,0
2024-11-04,Bonnybridge and Larbert,0,0
2024-11-04,Cumbernauld South,1,1
2024-11-04,Rosyth,1,1
2024-11-04,Bearsden South,1,1
2024-11-04,Leith,0,0
2024-11-04,Lower Deeside,1,1
2024-11-04,Giffnock and Thornliebank,1,1
2024-11-04,Govan,0,0
2024-11-04,"Huntly, Strathbogie and Howe of Alford",0,0
2024-11-04,Cumnock and New Cumnock,1,1
2024-11-04,Annick,1,1
2024-11-04,Dunfermline Central,0,0
2024-11-04,Rutherglen Central and North,0,0
2024-11-04,Lower Braes,1,1
2024-11-04,Selkirkshire,1,1
2024-11-04,Maryhill,0,0
2024-11-04,Dalry and West Kilbride,0,0
2024-11-04,Arbroath East & Lunan,0,0
2024-11-04,Denny and Banknock,1,1
2024-11-04,"Glenrothes North, Leslie and Markinch",1,1
2024-11-04,Tain and Easter Ross,1,1
2024-11-04,Drum Brae/Gyle,1,1
2024-11-04,Helensburgh and Lomond South,1,1
2024-11-04,Liberton/Gilmerton,0,0
2024-11-04,Shetland West,1,1
2024-11-04,Heldon and Laich,1,1
2024-11-04,Tay Bridgehead,1,1
2024-11-04,Livingston North,1,1
2024-11-04,Bellshill,0,0
2024-11-04,Bishopbriggs South,1,1
2024-11-04,Dingwall and Seaforth,0,0
2024-11-04,"Aboyne, Upper Deeside and Donside",1,1
2024-11-04,Helensburgh and Lomond South,1,1
2024-11-04,Bishopbriggs North and Campsie,1,1
2024-11-04,Linlithgow,1,1
2024-11-04,"Arbroath West, Letham and Friockheim",1,1
2024-11-04,Shetland South,1,1
2024-11-04,Linn,0,0
2024-11-04,Glenrothes West and Kinglassie,1,1
2024-11-04,Doon Valley,1,1
2024-11-04,Shetland North,1,1
2024-11-04,Highland,1,1
2024-11-04,Livingston South,0,0
2024-11-04,"Leven, Kennoway and Largo",0,0
2024-11-04,Lerwick South,1,1
2024-11-04,Lochee,1,1
2024-11-04,Shettleston,0,0
2024-11-04,Hilton/Woodside/Stockethill,0,0
2024-11-04,Stromness and South Isles,1,1
2024-11-04,The Ferry,1,1
2024-11-04,Dee and Glenkens,1,1
2024-11-04,Black Isle,1,1
2024-11-04,Dumbarton,0,0
2024-11-04,Greater Pollok,0,0
2024-11-04,Sgir' Uige agus Ceann a Tuath nan Loch,1,1
2024-11-04,Glenrothes Central and Thornton,0,0
2024-11-04,Leven,0,0
2024-11-04,Ardrossan and Arran,1,1
2024-11-04,Sgire an Rubha,1,1
2024-11-04,Lochar,1,1
2024-11-04,Hillhead,0,0
2024-11-04,Dennistoun,0,0
2024-11-04,Drumchapel/Anniesland,0,0
2024-11-04,"Bishopton, Bridge of Weir & Langbank",1,1
2024-11-04,Shetland Central,1,1
2024-11-04,Loch a Tuath,1,1
2024-11-04,"Wester Ross, Strathpeffer and Lochalsh",1,1
2024-11-04,Glenboig and Moodiesburn,1,1
2024-11-04,Hazlehead/Queens Cross/Countesswells,1,1
2024-11-04,Larkhall,0,0
2024-11-04,Dunfermline South,0,0
2024-11-04,West End,0,0
2024-11-04,Corstorphine/Murrayfield,1,1
2024-11-04,Kirkcaldy North,1,1
2024-11-04,Buckie,1,1
2024-11-04,Annandale North,0,0
2024-11-04,Midlothian South,0,0
2024-11-04,Perth City South,1,1
2024-11-04,Bathgate,0,0
2024-11-04,Strathallan,1,1
2024-11-04,Torry/Ferryhill,0,0
2024-11-04,Inverkeithing and Dalgety Bay,1,1
2024-11-04,Fountainbridge/Craiglockhart,1,1
2024-11-04,East End,0,0
2024-11-04,Ayr North,0,0
2024-11-04,Airdrie North,1,1
2024-11-04,Southside Central,0,0
2024-11-04,Midlothian East,0,0
2024-11-04,Inverclyde West,1,1
2024-11-04,"Buckhaven, Methil and Wemyss Villages",0,1
2024-11-04,Kirkintilloch East and North and Twechar,0,0
2024-11-04,East Centre,0,0
2024-11-04,Mid and Upper Nithsdale,0,0
2024-11-04,Cowal,1,1
2024-11-04,Midlothian West,1,1
2024-11-04,Perth City North,0,0
2024-11-04,"Burntisland, Kinghorn and Western Kirkcaldy",1,1
2024-11-04,"Barrhead, Liboside and Uplawmoor",0,0
2024-11-04,Monifieth & Sidlaw,1,1
2024-11-04,Forth and Endrick,1,1
2024-11-04,"Tranent, Wallyford and Macmerry",0,0
2024-11-04,Pentland Hills,0,0
2024-11-04,Milngavie,1,1
2024-11-04,Westhill and District,1,1
2024-11-04,Inverness Central,0,0
2024-11-04,Stranraer and the Rhins,0,0
2024-11-04,Kintyre and the Islands,1,1
2024-11-04,East Kilbride Central North,0,0
2024-11-04,Ayr West,0,0
2024-11-04,Southside/Newington,0,0
2024-11-04,Coldside,0,0
2024-11-04,Calton,0,0
