year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,7,Scottish Borders,120,74,0.0,0.0,0.0,0.0,0.0
2019,7,Shetland,121,8,0.0,0.0,0.0,0.0,0.0
2019,7,South Ayrshire,122,66,0.0,0.0,0.0,0.0,0.0
2019,7,South Lanarkshire,123,245,0.0,0.0,0.0,0.0,0.0
2019,7,Stirling,124,70,0.0,0.0,0.0,0.0,0.0
2019,7,West Dunbartonshire,125,76,0.0,0.0,0.0,0.0,0.0
2019,7,West Lothian,126,76,0.0,0.0,0.0,0.0,0.0
2019,7,Western Isles - Eilean Siar,127,11,0.0,0.0,0.0,0.0,0.0
2019,8,Aberdeen,128,105,0.0,0.0,0.0,0.0,0.0
2019,8,Aberdeenshire,129,81,0.0,1.0,0.0,1.0,0.0
2019,8,Angus,130,45,0.0,0.0,0.0,0.0,0.0
2019,8,Argyll and Bute,131,64,0.0,0.0,0.0,0.0,0.0
2019,8,Clackmannanshire,132,53,0.0,0.0,0.0,0.0,0.0
2019,8,Dumfries and Galloway,133,136,0.0,0.0,0.0,0.0,0.0
2019,8,Dundee,134,110,0.0,0.0,0.0,0.0,0.0
2019,8,East Ayrshire,135,74,0.0,1.0,0.0,1.0,0.0
2019,8,East Dunbartonshire,136,30,1.0,0.0,0.0,1.0,1.0
2019,8,East Lothian,137,52,0.0,0.0,0.0,0.0,0.0
2019,8,East Renfrewshire,138,13,1.0,0.0,0.0,1.0,1.0
2019,8,Edinburgh,139,312,2.0,1.0,1.0,4.0,0.5
2019,8,Falkirk,140,141,0.0,0.0,0.0,0.0,0.0
2019,8,Fife,141,210,0.0,1.0,0.0,1.0,0.0
2019,8,Glasgow,142,558,12.0,9.0,1.0,22.0,0.5454545454545454
2019,8,Highland,143,92,0.0,1.0,0.0,1.0,0.0
2019,8,Inverclyde,144,55,0.0,0.0,0.0,0.0,0.0
2019,8,Midlothian,145,62,0.0,0.0,0.0,0.0,0.0
2019,8,Moray,146,44,1.0,0.0,0.0,1.0,1.0
2019,8,North Ayrshire,147,104,1.0,1.0,0.0,2.0,0.5
2019,8,North Lanarkshire,148,294,2.0,0.0,0.0,2.0,1.0
