PSOS_MMW_Name,COUNCIL NAME,WARD CODE,Population_Census_2022-03-20,Area,longitude,latitude,CALENDAR YEAR,CALENDAR MONTH,"Alcohol offences, travelling to and from sporting event",Breach of football banning order,Breach of the peace,Carrying of Knives etc S Act 1993,Drunk in or attempting to enter designated sports ground,Mobbing and rioting,Offensive behaviour at football (OBaFaTBSA 2012),Permitting riotous behaviour in licensed premises,Possession of an offensive weapon,Possession of offensive weapon used in other criminal activity,Public mischief - including wasting police time,Racially aggravated conduct,Racially aggravated harassment,Serious Assault,Sports grounds offences possessing alcohol etc,Stirring up hatred: Racial,Threatening or abusive behaviour,TOTAL DETECTED CRIME
"Carse, Kinnaird and Tryst",Falkirk,S13002612,21910.0,40.111,-3.78254,56.05807,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
Castle Douglas and Crocketford,Dumfries and Galloway,S13002883,9333.0,460.73,-3.86875,54.99408,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Central Buchan,Aberdeenshire,S13002492,14303.0,385.71,-2.07186,57.52327,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
City Centre,City of Edinburgh,S13002929,33106.0,4.9776,-3.19714,55.950142,2021,10,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,39.0,68.0
Clackmannanshire Central,Clackmannanshire,S13002529,8168.0,10.157,-3.76829,56.13267,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,10.0
Clackmannanshire East,Clackmannanshire,S13002531,8518.0,68.86,-3.67539,56.15025,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Clackmannanshire North,Clackmannanshire,S13002528,10787.0,54.725,-3.75749,56.176,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,14.0
Clackmannanshire South,Clackmannanshire,S13002530,11938.0,6.793,-3.79572,56.11355,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,11.0
Clackmannanshire West,Clackmannanshire,S13002527,12367.0,18.51,-3.8407,56.15244,2021,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,13.0
"Clarkston, Netherlee and Williamwood",East Renfrewshire,S13002917,20831.0,7.6103,-4.27835,55.786209,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Clydebank Central,West Dunbartonshire,S13002818,15507.0,4.8224,-4.40977,55.91202,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,24.0
Clydebank Waterfront,West Dunbartonshire,S13002819,15075.0,8.5351,-4.43357,55.91001,2021,10,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0
Clydesdale East,South Lanarkshire,S13002789,13118.0,814.82,-3.70279,55.48433,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0
Clydesdale North,South Lanarkshire,S13002788,14820.0,154.02,-3.69522,55.7499,2021,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
Clydesdale South,South Lanarkshire,S13002790,14746.0,300.84,-3.89002,55.58427,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0
Clydesdale West,South Lanarkshire,S13002787,19896.0,61.781,-3.82795,55.72381,2021,10,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0
Coatbridge North,North Lanarkshire,S13003048,15148.0,10.676,-4.0442,55.869789,2021,10,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0
Coatbridge South,North Lanarkshire,S13002721,17058.0,5.8606,-4.01251,55.84921,2021,10,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,28.0
Coatbridge West,North Lanarkshire,S13002720,13530.0,4.035,-4.05668,55.85302,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0
Coldside,Dundee City,S13002548,19288.0,4.1397,-2.98447,56.473629,2021,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,23.0
Colinton/Fairmilehead,City of Edinburgh,S13002590,24468.0,19.993,-3.24457,55.89182,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Corstorphine/Murrayfield,City of Edinburgh,S13002588,23401.0,6.9072,-3.2595,55.94369,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0
Cowal,Argyll and Bute,S13002521,7167.0,847.49,-5.06425,56.083031,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0
Cowdenbeath,Fife,S13002625,22010.0,36.282,-3.34532,56.10342,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Craigentinny/Duddingston,City of Edinburgh,S13002596,29097.0,8.5612,-3.14804,55.95211,2021,10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,22.0
Cromarty Firth,Highland,S13002668,12747.0,417.19,-4.38805,57.72547,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
Culloden and Ardersier,Highland,S13002679,11543.0,83.715,-4.01917,57.50477,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Cumbernauld East,North Lanarkshire,S13003045,16655.0,25.322,-3.93398,55.952942,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,17.0
Cumbernauld North,North Lanarkshire,S13002713,19097.0,16.377,-4.02139,55.95245,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Cumbernauld South,North Lanarkshire,S13002714,16518.0,5.1289,-4.00013,55.94107,2021,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0
Cumnock and New Cumnock,East Ayrshire,S13002560,13639.0,314.14,-4.24735,55.39171,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0
Cupar,Fife,S13002638,13888.0,111.83,-2.98812,56.30789,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
Dalkeith,Midlothian,S13002692,14983.0,16.229,-3.07794,55.90993,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,19.0
Dalry and West Kilbride,North Ayrshire,S13002709,10135.0,112.7,-4.76929,55.70584,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,16.0
Dee and Glenkens,Dumfries and Galloway,S13002882,9866.0,1212.9,-4.11951,55.036121,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Dennistoun,Glasgow City,S13002988,20274.0,5.2146,-4.21872,55.868622,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,26.0
Denny and Banknock,Falkirk,S13002611,19390.0,54.384,-3.95256,56.01721,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0
Dingwall and Seaforth,Highland,S13002670,13029.0,112.93,-4.47876,57.57578,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
Doon Valley,East Ayrshire,S13002561,11062.0,261.1,-4.44165,55.19258,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,10.0
Drum Brae/Gyle,City of Edinburgh,S13002585,23638.0,7.2221,-3.29745,55.94447,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0
Drumchapel/Anniesland,Glasgow City,S13002654,28881.0,7.2633,-4.36244,55.90475,2021,10,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,26.0
Dumbarton,West Dunbartonshire,S13002816,16979.0,46.294,-4.5232,55.9463,2021,10,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,19.0
Dunbar and East Linton,East Lothian,S13002576,15764.0,188.38,-2.54797,55.95922,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0
Dunblane and Bridge of Allan,Stirling,S13002809,14244.0,69.338,-3.92302,56.18499,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
Dunfermline Central,Fife,S13002620,21423.0,20.701,-3.47288,56.07094,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,26.0
Dunfermline North,Fife,S13002619,15872.0,18.319,-3.44636,56.08779,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,16.0
Dunfermline South,Fife,S13002621,23343.0,8.332,-3.42557,56.05739,2021,10,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0,26.0
Dunoon,Argyll and Bute,S13002522,7217.0,71.35,-5.00475,55.906631,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,11.0
Dyce/Bucksburn/Danestone,Aberdeen City,S13002476,21937.0,48.016,-2.222,57.20009,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
East Berwickshire,Scottish Borders,S13002767,11381.0,296.1,-2.22726,55.82954,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
East Centre,Glasgow City,S13002658,27888.0,6.3155,-4.19431,55.86392,2021,10,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,19.0,31.0
East End,Dundee City,S13002551,15438.0,5.3029,-2.91768,56.476109,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,15.0
East Garioch,Aberdeenshire,S13002500,14044.0,120.84,-2.24764,57.23842,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0
East Kilbride Central North,South Lanarkshire,S13002794,15947.0,4.2766,-4.17724,55.76423,2021,10,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,21.0,30.0
East Kilbride Central South,South Lanarkshire,S13002793,14890.0,3.8553,-4.18654,55.75666,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,15.0
East Kilbride East,South Lanarkshire,S13002796,13363.0,12.72,-4.1435,55.77832,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0
East Kilbride South,South Lanarkshire,S13002792,16644.0,8.1453,-4.18794,55.74373,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0
East Kilbride West,South Lanarkshire,S13002795,16302.0,24.984,-4.22892,55.77139,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
East Livingston and East Calder,West Lothian,S13002824,22298.0,110.69,-3.48398,55.817749,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0
"East Mainland, South Ronaldsay and Burray",Orkney Islands,S13002736,3363.0,147.49,-2.87151,58.932468,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Neuk and Landward,Fife,S13002637,12630.0,222.92,-2.78495,56.25647,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0
East Sutherland and Edderton,Highland,S13002666,7696.0,1466.4,-4.00772,58.09366,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Eilean a Cheo,Highland,S13002999,10686.0,1751.6,-6.22733,57.4258,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elgin City North,Moray,S13002701,12113.0,5.5111,-3.3136,57.65577,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Elgin City South,Moray,S13002702,12785.0,9.2678,-3.32333,57.63683,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,17.0
Ellon and District,Aberdeenshire,S13002497,14928.0,196.7,-2.0315,57.36435,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Erskine & Inchinnan,Renfrewshire,S13002760,16500.0,14.945,-4.44523,55.89325,2021,10,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,13.0
Falkirk North,Falkirk,S13002614,21655.0,10.632,-3.77143,56.00772,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,20.0,26.0
Falkirk South,Falkirk,S13002615,16330.0,25.463,-3.81118,55.9859,2021,10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0
Fauldhouse and the Breich Valley,West Lothian,S13002825,16214.0,75.058,-3.64098,55.826618,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0
Fochabers Lhanbryde,Moray,S13002699,10181.0,227.95,-3.11752,57.64101,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Forfar & District,Angus,S13002510,15730.0,67.796,-2.85796,56.65277,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
Forres,Moray,S13002703,15605.0,288.55,-3.62406,57.53487,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Forth,City of Edinburgh,S13002586,32036.0,5.5834,-3.22814,55.97685,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,21.0
Forth and Endrick,Stirling,S13002808,12863.0,464.23,-4.354,56.09125,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
Fortissat,North Lanarkshire,S13002723,16116.0,113.59,-3.81892,55.81913,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
Fountainbridge/Craiglockhart,City of Edinburgh,S13002591,23937.0,5.112,-3.23221,55.92401,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Fraserburgh and District,Aberdeenshire,S13002491,15692.0,66.636,-1.99478,57.64321,2021,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,13.0
Ft William and Ardnamurchan,Highland,S13002683,11166.0,2559.2,-5.67669,56.77799,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Galashiels and District,Scottish Borders,S13002763,15336.0,211.94,-2.92841,55.732128,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,13.0
Garscadden/Scotstounhill,Glasgow City,S13002653,29482.0,5.7193,-4.36238,55.88737,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0
George St/Harbour,Aberdeen City,S13002483,21243.0,3.7936,-2.09256,57.15088,2021,10,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,30.0,51.0
Giffnock and Thornliebank,East Renfrewshire,S13002579,16052.0,5.8814,-4.30074,55.8021,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
Girvan and South Carrick,South Ayrshire,S13002786,10660.0,717.94,-4.71962,55.15657,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0
Glenboig and Moodiesburn,North Lanarkshire,S13003047,9744.0,26.1,-4.05326,55.90234,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Glenrothes Central and Thornton,Fife,S13002633,15492.0,31.711,-3.12884,56.17472,2021,10,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,18.0
"Glenrothes North, Leslie and Markinch",Fife,S13002632,17928.0,45.775,-3.17791,56.21357,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Glenrothes West and Kinglassie,Fife,S13002631,15626.0,22.502,-3.22393,56.17955,2021,10,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,15.0
Govan,Glasgow City,S13002645,27410.0,8.0485,-4.32206,55.85679,2021,10,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,29.0,41.0
Grangemouth,Falkirk,S13002610,16016.0,12.188,-3.70864,56.02212,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,10.0
Greater Pollok,Glasgow City,S13002643,32890.0,11.726,-4.35224,55.81525,2021,10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0
Haddington and Lammermuir,East Lothian,S13002575,20428.0,319.04,-2.73576,55.90393,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
Hamilton North and East,South Lanarkshire,S13002803,15045.0,15.169,-4.02582,55.77665,2021,10,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,45.0
Hamilton South,South Lanarkshire,S13002805,21097.0,5.2163,-4.0527,55.76124,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,16.0
Hamilton West and Earnock,South Lanarkshire,S13002804,19694.0,21.804,-4.11279,55.75511,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0
Hawick and Denholm,Scottish Borders,S13002770,9159.0,241.3,-2.67087,55.408649,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
Hawick and Hermitage,Scottish Borders,S13002771,8551.0,629.06,-2.83801,55.271999,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Hazlehead/Queens Cross/Countesswells,Aberdeen City,S13002844,19796.0,11.256,-2.1713,57.136902,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,9.0
Heldon and Laich,Moray,S13002700,13867.0,172.75,-3.38593,57.652,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Helensburgh Central,Argyll and Bute,S13002525,9515.0,5.4243,-4.74125,56.010262,2021,10,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0
Helensburgh and Lomond South,Argyll and Bute,S13002526,7328.0,54.274,-4.67029,56.001549,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Helensburgh and Lomond South,West Dunbartonshire,S13002526,7328.0,54.274,-4.67029,56.001549,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helensburgh and Lomond South,Inverclyde,S13002526,7328.0,54.274,-4.67029,56.001549,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highland,Perth and Kinross,S13002741,8927.0,2304.9,-4.09378,56.70574,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillhead,Glasgow City,S13002651,24939.0,2.9222,-4.28276,55.87612,2021,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,16.0
Hilton/Woodside/Stockethill,Aberdeen City,S13002480,14325.0,2.6338,-2.13175,57.16536,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,22.0
"Houston, Crosslee & Linwood",Renfrewshire,S13002758,16467.0,25.866,-4.51512,55.86396,2021,10,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
Howe of Fife and Tay Coast,Fife,S13002634,13319.0,269.13,-3.16895,56.30095,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
"Huntly, Strathbogie and Howe of Alford",Aberdeenshire,S13002502,15536.0,800.75,-2.74199,57.33951,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Inverclyde Central,Inverclyde,S13003013,11140.0,10.618,-4.752,55.928211,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
Inverclyde East,Inverclyde,S13002684,11273.0,86.856,-4.69347,55.88601,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Inverclyde East Central,Inverclyde,S13002685,10267.0,6.6017,-4.76207,55.92774,2021,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
Inverclyde North,Inverclyde,S13002686,12854.0,3.9421,-4.77145,55.95144,2021,10,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,20.0
Inverclyde South,Inverclyde,S13002687,10410.0,3.3553,-4.79119,55.94352,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
